,title,author,publisher,publistDate,ISBN,pages,genre,description,book_img_url
25,코스모스,칼 에드워드 세이건,사이언스북스,2006년 12월 20일,9788983711892,719,자연과학,"전 세계 60개국에 방송되어 6억 시청자를 감동시킨 텔레비전 교양 프로그램을 책으로 옮긴 칼 세이건(Carl Sagan)의 『코스모스(Cosmos)』. 현대 천문학을 대표하는 저명한 과학자인 칼 세이건은 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다. 그는 에라토스테네스, 데모크리토스, 히파티아, 케플러, 갈릴레오, 뉴턴, 다윈 같은 과학의 탐험가들이 개척해 놓은 길을 따라가며 과거, 현재, 미래의 과학이 이뤘고, 이루고 있으며, 앞으로 이룰 성과들을 알기 쉽게 풀이해 들려준다. 

이 책은 모두 13개장으로 구성되어 있다. 칼 세이건은 이 책에서 10조 개의 별들을 품고 있는 은하가 10조 개 있는 광막한 대우주의 세계에서 은하수 은하의 변방, 자그마한 노란색 별 태양이 이끄는 태양계의 한구석에서 창백하게 빛나는 지구에 이르기까지 코스모스에 대해 우리 인류가 알게 된 것들, 알게 된 과정들, 그리고 알아 갈 것들을 소개하고 그것이 궁극적으로 우리 자신을 알기 위한 것임을 설득력 있게 보여 준다. 코스모스 특별판은 수록 이미지가 흑백으로 실려 있다.

                                                ",2312211.jpg
26,구의 증명,최진영,은행나무,2023년 04월 26일,192쪽 | 324g | 128*188*20mm,양장,소설/시/희곡,"만약 네가 먼저 죽는다면
나는 너를 먹을 거야.
그래야 너 없이도 죽지 않고 살 수 있어.

사랑 후 남겨진 것들에 관한 숭고할 만큼 아름다운 이야기

최진영 소설 『구의 증명』은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.

                                                ",118578901.jpg
27,요즘 어른을 위한 최소한의 세계사,임소미,빅피시,2023년 09월 22일,9791193128428,348,역사,"복잡하게 얽혀 있는 세계사의 밑그림이 단박에 그려진다!가장 빠르게 6,000년 역사를 내 것으로 만드는 [초압축 세계사]러시아는 왜 우크라이나와 전쟁을 벌이는 걸까? 미국은 언제부터 전 세계를 호령하는 강대국이 되었을까? 『요즘 어른을 위한 최소한의 세계사』는 오늘날 꼭 알아야 할 세계사의 주요 사건을 핵심만 쏙쏙 정리했다. 고대 문명의 탄생부터 강대국의 발전 과정을 시간순으로 빠짐없이 정리해 현재의 세계정세가 어떻게 구축되었는지 머릿속에 세계사의 뼈대를 확실하게 잡기 충분하다. 특히 한 편의 영화를 보는 것처럼 서술되어 있어 읽기 편하고, 속도감 있게 진행되는 스토리텔링으로 정신없이 책장을 넘기게 되는 재미와 흥미진진함까지 갖췄다. 역사를 뒤흔든 전쟁사부터 알아두면 쓸모 있는 세계사 교양까지, 어렵게만 느껴졌던 6,000년 세계사가 이 책 한 권으로 단숨에 정리되는 기적을 경험하게 될 것이다.                                ",122433629.jpg
28,ETS 토익기출 파트별 VOCA 보카,ETS,YBM(와이비엠),2022년 12월 23일,9788917237481,588,국어 외국어 사...,"ETS 토익기출 파트별 보카 최신개정판 독점출간
최신 기출예문, 기출문제 독점수록

입문부터 실전까지 전 레벨 토익 권장도서이다. 토익 기본 어휘와 토익 만점 어휘 + LEVEP UP 어휘까지 짱짱한 구성으로 전 레벨 수험자가 시험 대비 필독서로 활용할 수 있게 구성하였다. 기출예문(LC 성우 음성 포함), 기출문제(12세트) 독점수록하였다. 전 예문을 실제 토익 시험에 나왔던 문장들로 독점 수록하여 최적의 소스로 실전에 대비할 수 있게 하였다. 특히 LC 어휘는 전 예문이 실제 시험 성우의 음원으로 제공되며, RC 어휘는 시험 문제와 직결되는 학습 TIP 및 실제 기출 어휘 문제 12세트까지 제공된다. 실전 적응력을 높이는 파트별로 구성하였다. 파트마다 쓰임이 다른 토익 어휘, 파트별로 암기해야 학습 효과가 상승한다. LC/RC 각 파트 빈출 어휘를 표제어로 채택하여 실제 토익 시험의 해당 파트에서 예문을 추출하였다. 실전 대비 어휘집으로 이보다 더 최적화된 구성이 있을까?

4가지 버전의 무료 MP3 및 음원 QR이 제공된다. 단어 뜻만 빠르게 외우고 싶은 학습자, 영국식 또는 호주식 발음을 익히면서 암기하고 싶은 학습자, 어휘와 예문을 함께 익히고 싶은 학습자를 위해 무료 MP3 음원을 4가지 버전으로 구성하였다. 다운로드 없이 바로 예문 학습이 가능한 음원 QR 또한 제공된다. 기출보카 앱(APP)이 제공된다. 교재 구매 인증을 통해 무료로 다운로드할 수 있는 보카앱으로 한층 더 스마트하게 학습할 수 있다. 게임 형식으로 암기하고, 다시 보고 싶은 단어는 [나만의 단어장]에 따로 저장해 두자. 이동이나 휴식 중에는 앱으로 MP3 예문을 들으며 기출 어휘를 무한 반복 학습할 수 있다.

단어 시험 출제 마법사가 제공된다. 단어 암기의 핵심은 반복 테스트! 가장 효율적이며 효과적인 단어 암기를 위해 자동으로 단어 시험을 출제해 주는 단어 시험 출제 마법사가 최신개정판 출간과 함께 새롭게 선보인다. 클릭 한 번으로 난이도별/파트별, 동의어/반의어 테스트 등, 원하는 방식으로 테스트지를 생성할 수 있으며, PC 또는 휴대폰에서 바로 테스트하거나 PDF 파일로 출력하여 테스트할 수도 있다. 해당 서비스는 YBM Books 출판 홈페이지(www.ybmbooks.com)에서 ‘토익 기출 보카’ 검색을 통해 이용할 수 있다.



                                                ",116467955.jpg
29,작은 땅의 야수들,김주혜,다산책방,2023년 06월 19일,9791130642574,612,소설/시/희곡,"2024 톨스토이 문학상 수상작!잊어선 안 될 우리 역사를 전 세계에 알린 소설“한국 독립의 상징인 호랑이가 등장하는 이 소설은지금 위대한 미래를 앞두고 있다”_파벨 바신스키(톨스토이 문학상 심사위원)《더 타임스》 《뉴욕타임스》 등 영미권 40여 개 주요 매체 극찬전 세계 14개국 번역 출간 · 글로벌 OTT 영상화 진행 중2024년 톨스토이 문학상을 수상한 한국계 미국인 작가 김주혜의 기념비적인 데뷔작.호랑이와 인간이 대치하는 강렬한 프롤로그로 시작하는 『작은 땅의 야수들』은 혼란스러운 시대에 서로 다른 욕망을 품은 다양한 인간 군상들이 운명적으로 얽혀 흥망성쇠하는 장대한 대서사시다. 1917년 일제강점기 조선, 한겨울의 눈 덮인 깊은 산속에서 극한의 추위 속에 굶주림과 싸우며 짐승을 쫓던 사냥꾼이 호랑이에게 공격받고 있던 일본군 대위를 구한다. 이 만남으로부터 그들의 삶은 운명처럼 연결되고, 반세기에 걸친 이야기가 펼쳐진다. 폭넓은 서사와 호흡을 보여준다는 점에서 톨스토이의 작품을 연상케 한다는 평가를 받는 이 소설은 영미권 40여 개 매체가 극찬하고 14개국에 번역 출간되어 읽히며 전 세계에 우리의 역사를 알렸다. 세계 평화에 기여하는 문학 작품에 수여하는 ‘데이턴문학평화상’ 외 3개 문학상 후보에 올랐고, 2024년 마침내 러시아 최고 권위 문학상으로 꼽히는 ‘야스나야 폴랴나상(톨스토이 문학상)’ 해외문학 부문 수상작으로 선정되는 영예를 안았다.눈앞에서 보는 것처럼 생생한 묘사로 독자를 순식간에 경성 한복판으로 데려가는 이 책을 두고 독자들은 “글로 표현된 미술작품”이라 말하며 주인공 가상 캐스팅까지 하기에 이르렀는데 이에 부응하듯 영상화 작업이 진행되고 있어 이 아름다운 이야기가 어떻게 각색될지 기대를 모은다.한국어판은 영어로 먼저 쓰인 ‘우리 이야기’를 모국어로 출간했다는 점에서 의미가 깊다. 우리말의 아름다움을 살리기 위해 번역에 세심한 공을 들였고, 특별히 한국 독자들에게 전하는 저자의 메시지를 수록했다. “번역된 소설이라고는 믿지 못할 만큼 한국의 고유한 정서를 정확하게 표현했다”는 독자들의 찬사가 이어지며 모국어 판본의 높은 가치를 인정받아 ‘한국인이라면 반드시 읽어야 하는 소설’로 자리매김했다.                                ",119149162.jpg
30,리틀 라이프 1,한야 야나기하라,시공사,2016년 06월 16일,9788952776372,620,소설/시/희곡,"천 페이지를 압도하는 폭풍 같은 서사2015년 맨부커상 최고의 화제작이 소설을 소개하는 가장 좋은 방법은, 너무나 흔한 관용구대로 “결코 손에서 놓을 수 없다”고 말하는 것이다. 독자를 두렵고 불편하게 하면서도 사로잡는 소설을 묘사할 더 적절한 표현은 없다. _커커스 문학상 선정단영미권을 대표하는 문학상 맨부커상과 전미도서상 최종후보에 나란히 오르고, [뉴욕타임스] [워싱턴포스트] [가디언] [월스트리트저널]을 비롯한 25개 언론사에서 ‘올해의 책’으로 꼽은 화제작 《리틀 라이프》가 한국어판으로 출간되었다. 영국과 미국의 대표 문학상 후보에 선정되기 전부터 독자들 사이에서는 “밤을 새워 읽었다” “천 페이지가 더 길었으면 하는 소설은 처음이다” “눈물이 나 몇 번을 읽다 멈춰야 했다” “충격적이고 가슴 아프다” “읽는 내내 매일 밤 이 소설에 관한 꿈을 꿨다” 같은 리뷰와 함께 이미 입소문이 퍼진 작품으로, 맨부커상 후보작으로 선정된 후 이례적으로 홈페이지에 응원 댓글이 달리며 독자들의 열렬한 지지를 받았다. 어린 시절 끔찍한 학대와 폭력의 트라우마를 간직한 비밀스러운 인물 주드의 이야기를 담은 《리틀 라이프》는 또한 그 소재의 선정성과 가차 없음으로 심사위원들 사이에서 가장 논쟁적인 작품이 되기도 했다.현대 소설로는 드물게 요약본과 해설서가 등장하고, 서평 사이트 ‘굿리즈’에 4만 명이 넘는 독자들이 별점 4점 이상의 평점을 남기고 있으며, 영화 [캐롤]의 배우 루니 마라가 추천 도서로 꼽는 등, 출간된 지 일 년이 넘은 지금도 여전히 독자들의 가슴에 큰 반향을 일으키고 있다.                                 ",28995741.jpg
31,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023년 07월 24일,9788965424765,816,국어 외국어 사...,"토익 시험 최신기출경향 완벽 분석 및 반영했다. [토익 READING 최신 출제 경향 한눈에 보기] 제공한다. 한 권으로 기본부터 실전까지 토익 RC 완벽 대비하자. 해커스 스타강사의 무료 실전 문제 해설강의 제공한다. 진단고사로 실력 점검하고 자신에게 맞는 수준별 학습플랜 선택할 수 있다. 

                                                ",116020437.jpg
32,눈물 상자,한강,문학동네,2008년 05월 22일,9788954605816,71쪽,소설/시/희곡,"한국소설문학상, 오늘의 젊은 예술가상, 이상문학상을 수상한 작가 한강의 어른을 위한 동화 『눈물 상자』. 라는 어린이극을 보고 강한 인상을 받은 저자가, '눈물을 상자에 모으는 아저씨가 있다'는 설정을 빌려 집필한 동화로, 눈물은 모두 투명하지만, 그것들을 결정으로 만들면 각기 다른 색깔이 나올 거란 생각을 곰곰기 더듬다가 이 이야기를 썼다고 한다.                                ",2956444.jpg
33,ETS 토익 단기공략 750+ (LC+RC),ETS,YBM(와이비엠),2020년 08월 20일,9788917235944,488,국어 외국어 사...,"『ETS 토익 단기공략 750+ (LC+RC)』는 출제기관 ETS에서 독점 제공하는 토익 단기공략 시리즈 중 하나로, 750점 이상을 목표로 하는 수험자들을 위한 교재이다. 최신경향을 분석하여 전략을 제시하고, 엄선된 기출문제 및 ETS 개발문제를 수록하여 실전에 확실히 대비할 수 있도록 하였다. 실제 시험과 동일한 ETS 성우의 음원, 학습 지원 어플(APP), 그리고 최종 실력을 점검할 수 있는 실전 모의고사 1회분까지 무료로 제공한다. 최신경향을 꿰뚫는 전략과 양질의 문제로 단기간에 고득점을 달성해 보자. 


                                                ",91868954.jpg
34,이은경쌤의 초등어휘일력 365,이은경,포레스트북스,2022년 10월 28일,384쪽 | 536g | 126*178*30mm,스프링,가정 살림,"* 출간 후 68주 연속 베스트셀러!* 20만 부 기념 스페셜 에디션 출간!* 2023년, 2024년 일력 전체 판매 1위!* 유튜브 누적 3,000만 뷰 돌파!『오즈의 마법사』와 『해리포터』에서 『만복이네 떡집』과『불편한 편의점』까지30만 부모의 멘토, 이은경쌤이 초등 문학 속 어휘를 모두 모았습니다!유튜브 누적 조회수 3,000만 뷰, 네이버 카페 유튜브 ‘슬기로운초등생활’30만 부모 멘토, 이은경쌤이 엄마와 아이가 함께 보는 『이은경쌤의 초등어휘일력 365』을 출간하고, 68주 연속 베스트셀러에 올라 화제다. 이 책은 초등어휘일력 365가 2023년과 2024년 연속 일력 전체 판매 1위를 달성하고 20만 부 돌파 베스트셀러가 된 것을 기념해 펴낸 스페셜 에디션이다. 수많은 일력 중, 이 일력만이 오랫동안 사랑받는 비결은 무엇일까? 이은경쌤이 이번 일력에 특히 신경 쓴 부분은, 아이들이 좋아할 만한 문학 작품들 속에서 어휘들을 선별했다는 것이다. 15년간 초등 아이들을 가르치면서 초등 시기에는 독서만큼 중요한 게 없다고 생각한 저자는 아이들이 막상 좋은 책을 만나도 그것을 제대로 읽지 못하는 것에 안타까움을 느껴왔다. 아이들에게 그 이유를 물어보니 책을 보면 자꾸 뜻 모를 단어가 툭툭 튀어나와 재미가 반감되고 결국 책에 마음을 붙이지 못하게 된다는 것이다. 그래서 저자는 아이들이 읽어봤을, 읽어봤으면 싶은 문학 작품 속에서 다양한 어휘를 찾아내어 따뜻한 응원의 메시지와 함께 준비했다. 어휘 하나만 알고 끝나지 않도록 어원, 유의어, 반의어, 예문을 가득 담아서 말이다. 아이가 매일 “헐이네”, “짱이네” 같은 말만 입에 담고, 일기나 독후감에 “참 재미있었다” “참 슬펐다”만 반복해서 쓴다면 『이은경쌤의 초등어휘일력 365』를 아이의 눈에 가장 잘 띄는 곳에 올려놓자. 매일 따로 공부할 시간을 낼 필요 없이 아이 스스로 눈에 보이는 재미있고 다양한 어휘들을 읽히게 될 것이다. 하루 10분이면 충분하다.                                ",114853233.jpg
35,이기적 유전자 The Selfish Gene,리처드 도킨스,을유문화사,2018년 10월 20일,9788932473901,632,자연과학,"과학을 넘어선 우리 시대의 고전, 『이기적 유전자』 40주년 기념판
리처드 도킨스의 ‘새로운 에필로그’ 수록
새로운 디자인으로 다시 태어난 세계적 베스트셀러

현대 생물학의 새로운 지평을 연 세계적인 석학 리처드 도킨스의 대표작 『이기적 유전자』의 40주년 기념판이 출간되었다. 진화론의 새로운 패러다임을 제시한 이 책은 다윈의 ‘적자생존과 자연선택’이라는 개념을 유전자 단위로 끌어내려 진화를 설명한다. 2013년 영국의 정치평론지 『프로스펙트』지가 독자들의 투표로 선정하는 ‘세계 최고의 지성’ 1위에 오른 바 있는 도킨스는 일찍이 촉망받는 젊은 과학자로 간결한 문체와 생생한 비유, 논리적인 전개를 갖춘 글로 능력을 인정받아 왔다. 도킨스는 자신의 동물행동학 연구를 진화의 역사에서 유전자가 차지하는 중심적 역할에 대한 좀 더 넓은 이론적 맥락과 연결시키기 시작했는데, 그 결과가 바로 『이기적 유전자』(초판 1976년, 개정판 1989년, 30주년 기념판 2006년, 40주년 기념판 2016년)다.

『이기적 유전자』는 처음 출간되었을 당시 과학계와 일반 대중들에게 폭발적인 반향을 불러일으키며 세기의 문제작으로 떠올랐다. 혁신적인 통찰에 더해 사람의 마음을 휘어잡는 뛰어난 문장력과 명쾌한 구성력 또한 보여 주는 이 책은 명실상부 과학 교양서의 바이블로 일컬어지기에 손색이 없다. 또 최재천 이화여대 석좌교수가 “한 권의 책 때문에 인생관이 하루아침에 뒤바뀌는 경험을 한 적이 있는가? 내게는 『이기적 유전자』가 바로 그런 책이다”라고 말했던 것처럼, 이 책은 무엇보다 인간의 본질에 대한 근원적인 물음을 던지며 독자에게 큰 울림을 준다는 점에서 과학 책을 넘어 인생의 어느 지점에서 한 번쯤 읽어봐야 할 책으로 자리 잡았다. 이제 한국 독자들도 40년이라는 세월의 검증을 거치며 그 중요성과 깊이를 더욱더 확고하게 인정받은 『이기적 유전자』의 최신 판본을 만나볼 수 있게 되었다.

이번 40주년 기념판에 새롭게 수록된 에필로그에서 도킨스는 여전히 ‘이기적 유전자’라는 개념이 갖고 있는 지속적인 타당성을 이야기하며 이 책이 전하는 메시지를 되새긴다. 새로운 에필로그를 수록하는 것은 물론 새로운 디자인과 휴대하기 좋은 판형으로 갈아입은 40주년 기념판을 통해 독자들은 『이기적 유전자』가 주는 울림을 더욱더 선명하게 느낄 수 있을 것이다.



                                                ",65067259.jpg
36,물고기는 존재하지 않는다,룰루 밀러,곰출판,2021년 12월 17일,9791189327156,300,자연과학,"‘방송계의 퓰리처상’ 피버디상 수상자 룰루 밀러의사랑과 혼돈, 과학적 집착에 관한 경이롭고도 충격적인 데뷔작!‘방송계의 퓰리처상’으로 불리는 피버디상(Peabody Awards)을 수상한 과학 전문기자 룰루 밀러의 경이로운 논픽션 《물고기는 존재하지 않는다》는 여러 언론 매체에서 ‘2020년 최고의 책’으로 선정할 만큼 수많은 찬사를 받은 화제의 베스트셀러다. 집착에 가까울 만큼 자연계에 질서를 부여하려 했던 19세기 어느 과학자의 삶을 흥미롭게 좇아가는 이 책은 어느 순간 독자들을 혼돈의 한복판으로 데려가서 우리가 믿고 있던 삶의 질서에 관해 한 가지 의문을 제기한다. “물고기가 존재하지 않는다는 것은 엄연한 하나의 사실이다. 그렇다면 우리는 또 무엇을 잘못 알고 있을까?” 하고 말이다. 누군가에게는 이 질문이 살아가는 데 아무런 영향을 미치지 않을 수도 있다. 하지만 세상을 바라보는 “진실한 관계들”에 한층 가까이 다가가기 위해 노력하는 사람들에게는 분명 이 책이 놀라운 영감과 어느 한쪽으로도 치우치지 않는 폭넓은 시야를 제공해줄 것이다.                                ",105526047.jpg
37,진짜 쓰는 실무 엑셀,전진권,제이펍,2022년 02월 15일,9791191600704,508,IT 모바일,"대기업 직장 생활 10년의 실무 노하우와 엑셀 유튜브 채널을 운영하면서 들은
수많은 직장인의 고민을 해결할 수 있는 다양한 엑셀 비법을 담았다. 
‘진짜 쓰는 실무 엑셀’ 한 권이면 빠른 일 처리로 워라밸을 실현하고, 일잘러로 거듭날 수 있다! 

오랜 시간 엑셀은 수많은 발전을 거듭하였고, Office 365에서 Microsoft 365로 브랜드명을 변경하기까지 다양한 기능, 특히 동적 배열 함수가 추가되면서 매크로를 사용하지 않고도 많은 부분을 해결할 수 있도록 개선되었다. 이 책에서 소개하는 제대로 된 실무 활용 기능을 익힌다면 방대한 데이터에서 특정 자료를 취합하고 분석하기, 분석된 자료를 한눈에 보기 좋게 시각화하기, 반복되는 작업을 효율적으로 개선하기 등 회사에서 원하는 엑셀 사용 능력을 충분히 뛰어넘을 수 있을 것이다.

                                                ",106711883.jpg
38,자본주의,정지은,가나출판사,2013년 09월 27일,9788957365793,388,경제 경영,"세계 32명의 석학들이 밝히는금융·소비·돈에 관한 33가지 비밀자본주의 덕분에 인류는 그 어느 체제보다 엄청난 부의 생산을 경험할 수 있었다. 우리는 지금도 자본주의 사회에 살고 있다. 하지만 우리가 정말 자본주의에 대해서 제대로 알고 있을까? 지금 자본주의는 기로에 놓여 있다. 이대로 갈 것인가, 새로운 길을 모색할 것인가. 이 책은 현재 위기를 겪고 있는 ‘자본주의’를 쉽게 풀어낸 방송, ‘EBS 다큐프라임〈자본주의〉 5부작’을 책으로 펴낸 것이다. 5부작 방송에서 미처 다 보여주지 못한 내용들이 심층적으로 보완했다.뉴스에서 나오는 ‘서브프라임 모기지’는 대체 무엇이고 왜 문제가 생겼는지, 저축은행 사태는 왜 일어났는지, 마트에 가면 왜 나도 모르게 많이 사게 되는지 등 자본주의 사회의 숨은 진실과 무서움에 관해 책은 경고한다. 그리고 무의식중에 우리를 나락으로 빠뜨리는 자본주의의 유혹과 위협 속에서 어떻게 살아남을 것인지 알려준다. 1776년 아담 스미스의 『국부론』으로 거슬러 올라가 스미스와 마르크스의 관점에서 지금의 자본주의를 바라보기도 하고, 케인스와 하이에크의 ‘시장’이냐 ‘정부’냐 논쟁에서 벗어나 결국엔 ‘사람’이 가장 중요하다는 결론을 내린다.고등학교 경제 교과서에 보면 수요와 공급의 법칙이 설명되어 있다. 가격이 내려가면 소비자의 수요량은 늘어나고, 가격이 오르면 생산자는 생산량을 늘린다는 것이다. 그리고 수요량과 공급량이 만나는 지점에서 가격이 결정된다고 배운다. 그렇다면 이것으로 물가가 계속해서 오르는 원리를 설명할 수 있을까? 우리는 물가가 오르락내리락한다고 생각하기 쉽지만 실제로는 그렇지 않다. 물가는 오르기만 하고 내려가지는 않는다. 이처럼 우리가 상식이라고 생각해 왔던 자본주의 경제에 관해 생각지 못했던 숨겨진 진실들을, 이 책에서 낱낱이 파헤친다.                                 ",11081680.jpg
39,리틀 라이프 2,한야 야나기하라,시공사,2016년 06월 16일,9788952776389,436,소설/시/희곡,"천 페이지를 압도하는 폭풍 같은 서사2015년 맨부커상 최고의 화제작이 소설을 소개하는 가장 좋은 방법은, 너무나 흔한 관용구대로 “결코 손에서 놓을 수 없다”고 말하는 것이다. 독자를 두렵고 불편하게 하면서도 사로잡는 소설을 묘사할 더 적절한 표현은 없다. _커커스 문학상 선정단영미권을 대표하는 문학상 맨부커상과 전미도서상 최종후보에 나란히 오르고, [뉴욕타임스] [워싱턴포스트] [가디언] [월스트리트저널]을 비롯한 25개 언론사에서 ‘올해의 책’으로 꼽은 화제작 《리틀 라이프》가 한국어판으로 출간되었다. 영국과 미국의 대표 문학상 후보에 선정되기 전부터 독자들 사이에서는 “밤을 새워 읽었다” “천 페이지가 더 길었으면 하는 소설은 처음이다” “눈물이 나 몇 번을 읽다 멈춰야 했다” “충격적이고 가슴 아프다” “읽는 내내 매일 밤 이 소설에 관한 꿈을 꿨다” 같은 리뷰와 함께 이미 입소문이 퍼진 작품으로, 맨부커상 후보작으로 선정된 후 이례적으로 홈페이지에 응원 댓글이 달리며 독자들의 열렬한 지지를 받았다. 어린 시절 끔찍한 학대와 폭력의 트라우마를 간직한 비밀스러운 인물 주드의 이야기를 담은 《리틀 라이프》는 또한 그 소재의 선정성과 가차 없음으로 심사위원들 사이에서 가장 논쟁적인 작품이 되기도 했다.현대 소설로는 드물게 요약본과 해설서가 등장하고, 서평 사이트 ‘굿리즈’에 4만 명이 넘는 독자들이 별점 4점 이상의 평점을 남기고 있으며, 영화 [캐롤]의 배우 루니 마라가 추천 도서로 꼽는 등, 출간된 지 일 년이 넘은 지금도 여전히 독자들의 가슴에 큰 반향을 일으키고 있다.                                 ",28995747.jpg
40,불편한 편의점,김호연,나무옆의자,2021년 04월 20일,9791161571188,268,소설/시/희곡,"최고의 재미와 감동을 선사하는 K힐링소설의 원조
 
***주요 서점 종합 베스트셀러 1위
***국립중앙도서관 2022 올해의 책
***전국 37개 도시 올해의 책
***해외 18개국 판권 수출
***연극 [불편한 편의점] 절찬 상연 중

불편한데 자꾸 가고 싶은 편의점이 있다! 
힘들게 살아낸 오늘을 위로하는 편의점의 밤
정체불명의 알바로부터 시작된 웃음과 감동의 나비효과
『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 2

2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다. 

서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 주워준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다. 

현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다. 

                                                ",99308021.jpg
41,시대예보: 핵개인의 시대,송길영,교보문고,2023년 09월 25일,340쪽 | 416g | 130*188*25mm,양장,경제 경영,"- 문화체육관광부 추천도서
- 국립중앙도서관 사서 추천도서
- 제2회 박무미래재단 경제경영 우수도서
- SERI CEO 비즈니스 북클럽 선정도서

마인드 마이너 송길영이 예보하는 미래 시대,
앞으로 세상은 어떻게 변화할 것인가?

한 철의 기상을 알려주는 일기예보가 아닌, 
삶을 대비하기 위한 더 큰 호흡의 ‘시대예보’가 시작된다!

수많은 사람의 기록이 축적된 빅데이터에서 인간의 마음을 읽고 해석하는 마인드 마이너(Mind Miner) 송길영은 사회의 변화를 누구보다 빠르게 읽어왔다. 그런 그가 이번에는 수십 년 전의 과거부터 산업화의 격변과 도시화의 확장을 경험한 지금까지의 관찰을 통해, 현재에 대한 이해를 바탕으로 미래의 흐름과 트렌드에 대한 인사이트를 제시한다. 지금껏 사회를 유지해 오던 시스템이 바뀌면서 기존에 없던 새로운 존재인 ‘핵개인’이 탄생한다는 것이다. 엄청난 속도로 새 규칙을 만드는 핵개인은 누구이며, 이들의 시대에 생존하기 위해 우리는 어떤 선택을 해야 할까?

《시대예보: 핵개인의 시대》는 학벌 인플레이션, 돌봄 과도기, 투명 사회, 과잠 계급, 효도의 종말, 이연된 보상 등 지금 시대를 살펴본다. 동시에 한국인보다 서울러, 5분 존경 사회, 글로벌 계급장, AI 동료, 권위자와의 직거래, 마이크로 커뮤니티, 미정산 세대 등 앞으로 우리가 맞이할 핵개인 시대를 예보한다.

기후 변화가 지난 천년의 기상 메커니즘을 벗어나는 일이 점점 더 잦아지고 있다. 매일 뉴스에서 빠지지 않는 일기예보가 무색할 정도로 급변하며 하루 앞을 예측하기 어려운 시대이지만, 그럼에도 불구하고 우리는 종종 그것이 맞지 않더라도 준비와 대비를 위해 귀를 기울인다. 비유하자면 이는 단순히 비를 피하기 위한 정도의 준비가 아니다. 누군가에게는 생업과 생명이 달려 있을 만큼 중요한 일이다. 이제 옷차림을 위해 한 철의 기상을 알려주는 일기예보가 아닌, 내 삶을 대비하기 위한 더 큰 호흡의 ‘시대예보’가 시작된다.

                                                ",122457906.jpg
